"timestamp","ntnx-ahv01","ntnx-ahv02","ntnx-ahv03"
"2024/05/25 14:00:00","282088","369590","309920"
"2024/05/25 14:00:30","266707","203995","177456"
"2024/05/25 14:01:00","201246","247728","266173"
"2024/05/25 14:01:30","161787","173741","171430"
"2024/05/25 14:02:00","220520","240408","230069"
"2024/05/25 14:02:30","199318","170102","142708"
"2024/05/25 14:03:00","187014","241315","197195"
"2024/05/25 14:03:30","155875","199889","170114"
"2024/05/25 14:04:00","210226","234203","232273"
"2024/05/25 14:04:30","213470","203176","176149"
"2024/05/25 14:05:00","217697","289439","226444"
"2024/05/25 14:05:30","222525","220222","189089"
"2024/05/25 14:06:00","207829","244462","284507"
"2024/05/25 14:06:30","195997","171602","147713"
"2024/05/25 14:07:00","284403","247900","239181"
"2024/05/25 14:07:30","170132","199529","175434"
"2024/05/25 14:08:00","206115","279584","220076"
"2024/05/25 14:08:30","200529","192989","164901"
"2024/05/25 14:09:00","183788","206257","192533"
"2024/05/25 14:09:30","188917","205097","179114"
"2024/05/25 14:10:00","230012","308163","247842"
"2024/05/25 14:10:30","248786","174937","154594"
"2024/05/25 14:11:00","184483","207520","251659"
"2024/05/25 14:11:30","159654","214840","144063"
"2024/05/25 14:12:00","249808","251966","286636"
"2024/05/25 14:12:30","200081","213287","195343"
"2024/05/25 14:13:00","223376","237874","214884"
"2024/05/25 14:13:30","153970","198785","138907"
"2024/05/25 14:14:00","200029","233331","270113"
"2024/05/25 14:14:30","175143","233649","150194"
"2024/05/25 14:15:00","270637","310046","246916"
"2024/05/25 14:15:30","225240","212154","151685"
"2024/05/25 14:16:00","202757","236269","314987"
"2024/05/25 14:16:30","176243","195014","168438"
"2024/05/25 14:17:00","240960","227169","219356"
"2024/05/25 14:17:30","206823","226706","181238"
"2024/05/25 14:18:00","240402","323656","274023"
"2024/05/25 14:18:30","159396","169667","145108"
"2024/05/25 14:19:00","235614","212483","211876"
"2024/05/25 14:19:30","186595","174417","151120"
"2024/05/25 14:20:00","235621","350758","286377"
"2024/05/25 14:20:30","236338","206832","171169"
"2024/05/25 14:21:00","224474","204300","249803"
"2024/05/25 14:21:30","159655","170287","143449"
"2024/05/25 14:22:00","228792","272659","261138"
"2024/05/25 14:22:30","168324","173507","145916"
"2024/05/25 14:23:00","236431","240093","203328"
"2024/05/25 14:23:30","159396","166769","140588"
"2024/05/25 14:24:00","202674","264230","241382"
"2024/05/25 14:24:30","192500","198175","199177"
"2024/05/25 14:25:00","248265","290697","225016"
"2024/05/25 14:25:30","231038","174451","136781"
"2024/05/25 14:26:00","210223","269526","230444"
"2024/05/25 14:26:30","152798","169678","188645"
"2024/05/25 14:27:00","205809","214878","215075"
"2024/05/25 14:27:30","197703","149392","163669"
"2024/05/25 14:28:00","210438","285311","239261"
"2024/05/25 14:28:30","175507","232208","215623"
"2024/05/25 14:29:00","272769","229312","230921"
"2024/05/25 14:29:30","251612","265654","206133"
"2024/05/25 14:30:00","264789","415869","294051"
"2024/05/25 14:30:30","220970","228192","191037"
"2024/05/25 14:31:00","190343","224800","265870"
"2024/05/25 14:31:30","195516","182774","144937"
"2024/05/25 14:32:00","227258","253170","234976"
"2024/05/25 14:32:30","190886","234559","205086"
"2024/05/25 14:33:00","214667","262886","214648"
"2024/05/25 14:33:30","193198","179075","168217"
"2024/05/25 14:34:00","263968","258056","236274"
"2024/05/25 14:34:30","219986","262137","172831"
"2024/05/25 14:35:00","226403","303646","255981"
"2024/05/25 14:35:30","255930","183919","152877"
"2024/05/25 14:36:00","205095","239909","284605"
"2024/05/25 14:36:30","176065","231397","202161"
"2024/05/25 14:37:00","212723","217667","205976"
"2024/05/25 14:37:30","201682","172705","147501"
"2024/05/25 14:38:00","206426","285242","224797"
"2024/05/25 14:38:30","154014","199578","177741"
"2024/05/25 14:39:00","186796","209564","216224"
"2024/05/25 14:39:30","213618","164674","139615"
"2024/05/25 14:40:00","237115","322948","262686"
"2024/05/25 14:40:30","245117","245661","193575"
"2024/05/25 14:41:00","208271","209463","281892"
"2024/05/25 14:41:30","168775","191561","145720"
"2024/05/25 14:42:00","240940","250997","229659"
"2024/05/25 14:42:30","166594","191148","143490"
"2024/05/25 14:43:00","190740","253120","234595"
"2024/05/25 14:43:30","154412","165994","138772"
"2024/05/25 14:44:00","232310","231302","232295"
"2024/05/25 14:44:30","175811","187646","163045"
"2024/05/25 14:45:00","235391","334821","270956"
"2024/05/25 14:45:30","217165","173809","149880"
"2024/05/25 14:46:00","244327","232919","275543"
"2024/05/25 14:46:30","156703","169505","150592"
"2024/05/25 14:47:00","207644","252885","237624"
"2024/05/25 14:47:30","166004","168435","142446"
"2024/05/25 14:48:00","242040","276095","223010"
"2024/05/25 14:48:30","172878","198337","164644"
"2024/05/25 14:49:00","187493","235183","226232"
"2024/05/25 14:49:30","176695","165638","138759"
"2024/05/25 14:50:00","265298","317508","252536"
"2024/05/25 14:50:30","223913","183755","152910"
"2024/05/25 14:51:00","217436","277635","369742"
"2024/05/25 14:51:30","163573","171316","141600"
"2024/05/25 14:52:00","253209","236366","237073"
"2024/05/25 14:52:30","211891","245985","234200"
"2024/05/25 14:53:00","199749","276280","237714"
"2024/05/25 14:53:30","157444","167741","141125"
"2024/05/25 14:54:00","240541","237249","250642"
"2024/05/25 14:54:30","172799","174587","153878"
"2024/05/25 14:55:00","232693","328732","250696"
"2024/05/25 14:55:30","227405","183710","183651"
"2024/05/25 14:56:00","208280","218156","269570"
"2024/05/25 14:56:30","218542","214602","193915"
"2024/05/25 14:57:00","204978","224281","206566"
"2024/05/25 14:57:30","164462","202845","177158"
"2024/05/25 14:58:00","193554","268271","207359"
"2024/05/25 14:58:30","193326","181560","154126"
"2024/05/25 14:59:00","191317","205354","200915"
"2024/05/25 14:59:30","262172","206300","193556"
"2024/05/25 15:00:00","316645","438897","363954"
"2024/05/25 15:00:30","283839","216222","201802"
"2024/05/25 15:01:00","199470","222202","267645"
"2024/05/25 15:01:30","160490","204402","180993"
"2024/05/25 15:02:00","217654","226958","221630"
"2024/05/25 15:02:30","309688","182242","164756"
"2024/05/25 15:03:00","278000","240328","200663"
"2024/05/25 15:03:30","182487","320771","182422"
